Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
286,331,116,5,4.0,4.0,9.26,1,0.93
306,321,109,3,3.5,3.5,8.8,1,0.74
282,317,110,3,4.0,4.5,9.11,1,0.8
158,309,104,2,2.0,2.5,8.26,0,0.65
110,304,103,5,5.0,4.0,8.64,0,0.68
18,319,106,3,4.0,3.0,8.0,1,0.65
348,299,94,1,1.0,1.0,7.34,0,0.42
25,336,119,5,4.0,3.5,9.8,1,0.97
176,320,111,4,4.5,3.5,8.87,1,0.85
352,325,110,4,3.5,4.0,8.67,1,0.73
333,308,106,3,3.5,2.5,8.21,1,0.75
168,313,102,3,2.0,3.0,8.27,0,0.64
246,328,110,4,4.0,2.5,9.02,1,0.81
312,328,108,4,4.5,4.0,9.18,1,0.84
146,320,113,2,2.0,2.5,8.64,1,0.81
259,326,102,4,5.0,5.0,8.76,1,0.77
178,319,110,3,3.5,3.5,9.04,0,0.82
120,327,104,5,3.0,3.5,8.84,1,0.71
195,316,109,3,3.5,3.0,8.76,0,0.77
230,324,111,4,3.0,3.0,9.01,1,0.82
266,313,102,3,2.5,2.5,8.68,0,0.71
219,324,110,4,3.0,3.5,8.97,1,0.84
308,325,112,4,4.0,4.0,9.0,1,0.8
37,299,106,2,4.0,4.0,8.4,0,0.64
140,318,109,1,3.5,3.5,9.12,0,0.78
292,300,102,2,1.5,2.0,7.87,0,0.56
156,312,109,3,3.0,3.0,8.69,0,0.77
197,306,105,2,3.0,2.5,8.26,0,0.73
285,340,112,4,5.0,4.5,9.66,1,0.94
60,311,104,2,2.0,2.0,8.3,0,0.42
112,321,109,4,4.0,4.0,8.68,1,0.69
166,322,110,5,4.5,4.0,8.97,0,0.78
364,306,103,2,2.5,3.0,8.36,0,0.69
7,321,109,3,3.0,4.0,8.2,1,0.75
334,319,108,3,3.0,3.5,8.54,1,0.71
276,322,110,3,3.5,3.0,8.96,1,0.78
151,334,114,4,4.0,4.0,9.43,1,0.93
11,325,106,3,3.5,4.0,8.4,1,0.52
193,322,114,5,4.5,4.0,8.94,1,0.86
104,317,104,2,4.5,4.0,8.47,0,0.57
82,340,120,4,5.0,5.0,9.5,1,0.96
317,298,101,2,1.5,2.0,7.86,0,0.54
399,312,103,3,3.5,4.0,8.78,0,0.67
376,304,101,2,2.0,2.5,7.66,0,0.38
209,305,106,2,3.0,3.0,8.16,0,0.64
287,336,118,5,4.5,4.0,9.19,1,0.92
169,293,97,2,2.0,4.0,7.8,1,0.64
354,300,102,3,3.5,2.5,8.17,0,0.63
90,316,109,4,4.5,3.5,8.76,1,0.74
378,290,100,1,1.5,2.0,7.56,0,0.47
164,317,105,3,3.5,3.0,8.56,0,0.68
148,326,114,3,3.0,3.0,9.11,1,0.83
229,318,112,3,4.0,3.5,8.67,0,0.71
93,298,98,2,4.0,3.0,8.03,0,0.34
70,328,115,4,4.5,4.0,9.16,1,0.78
124,308,108,3,3.5,3.5,8.22,0,0.61
97,306,100,2,3.0,3.0,8.0,0,0.48
144,340,120,4,4.5,4.0,9.92,1,0.97
327,299,100,3,2.0,2.0,8.02,0,0.63
98,331,120,3,4.0,4.0,8.96,1,0.86
239,310,104,3,2.0,3.5,8.37,0,0.7
69,318,109,3,3.5,4.0,9.22,1,0.68
24,334,119,5,5.0,4.5,9.7,1,0.95
38,300,105,1,1.0,2.0,7.8,0,0.58
145,325,112,2,3.0,3.5,8.96,1,0.8
123,310,106,4,1.5,2.5,8.36,0,0.57
183,299,100,2,3.0,3.5,7.88,0,0.68
68,316,107,2,3.5,3.5,8.64,1,0.57
199,311,104,3,4.5,4.5,8.43,0,0.7
325,315,104,3,3.0,2.5,8.33,0,0.67
220,312,104,3,3.5,3.5,8.42,0,0.74
318,300,99,1,1.0,2.5,8.01,0,0.58
196,307,107,2,3.0,3.5,8.52,1,0.78
126,300,100,3,2.0,3.0,8.66,1,0.64
147,315,105,3,2.0,2.5,8.48,0,0.75
372,324,110,3,3.5,3.0,9.22,1,0.89
87,315,106,3,4.5,3.5,8.42,0,0.72
337,319,110,3,3.0,2.5,8.79,0,0.72
341,312,107,3,3.0,3.0,8.46,1,0.75
338,332,118,5,5.0,5.0,9.47,1,0.94
355,297,98,2,2.5,3.0,7.67,0,0.59
335,312,107,4,4.5,4.0,8.65,1,0.73
303,322,105,2,3.0,3.0,8.45,1,0.65
184,314,110,3,4.0,4.0,8.8,0,0.75
204,334,120,5,4.0,5.0,9.87,1,0.97
284,321,111,3,2.5,3.0,8.9,1,0.8
212,328,110,4,5.0,4.0,9.14,1,0.82
283,312,106,3,4.0,3.5,8.79,1,0.81
130,333,118,5,5.0,5.0,9.35,1,0.92
39,304,105,1,3.0,1.5,7.5,0,0.52
12,327,111,4,4.0,4.5,9.0,1,0.84
326,326,116,3,3.5,4.0,9.14,1,0.81
186,327,113,4,4.5,4.5,9.11,1,0.89
223,324,113,4,4.5,4.0,8.79,0,0.76
113,301,107,3,3.5,3.5,8.34,1,0.62
180,307,102,3,3.0,3.0,8.27,0,0.73
328,295,101,2,2.5,2.0,7.86,0,0.69
300,305,112,3,3.0,3.5,8.65,0,0.71
118,290,104,4,2.0,2.5,7.46,0,0.45
369,298,92,1,2.0,2.0,7.88,0,0.51
278,320,101,2,2.5,3.0,8.62,0,0.7
385,340,113,4,5.0,5.0,9.74,1,0.96
288,324,114,5,5.0,4.5,9.08,1,0.89
363,338,115,5,4.5,5.0,9.23,1,0.91
165,329,111,4,4.5,4.0,9.01,1,0.81
254,335,115,4,4.5,4.5,9.68,1,0.93
137,312,103,3,5.0,4.0,8.45,0,0.76
155,326,108,3,3.0,3.5,8.89,0,0.8
200,313,107,3,4.0,4.5,8.69,0,0.72
198,310,106,2,3.5,2.5,8.33,0,0.73
393,326,112,4,4.0,3.5,9.12,1,0.84
3,316,104,3,3.0,3.5,8.0,1,0.72
205,298,105,3,3.5,4.0,8.54,0,0.69
116,310,106,4,4.5,4.5,9.04,1,0.66
235,330,113,5,5.0,4.0,9.31,1,0.91
238,329,114,5,4.5,5.0,9.19,1,0.86
27,322,109,5,4.5,3.5,8.8,0,0.76
121,335,117,5,5.0,5.0,9.56,1,0.94
358,301,104,2,3.5,3.5,7.89,1,0.68
225,305,105,2,3.0,2.0,8.23,0,0.67
361,322,110,3,4.0,5.0,8.64,1,0.85
379,303,98,1,2.0,2.5,7.65,0,0.56
351,318,107,3,3.0,3.5,8.27,1,0.74
380,311,99,1,2.5,3.0,8.43,1,0.71
128,319,112,3,2.5,2.0,8.71,1,0.78
75,314,106,3,3.0,5.0,8.9,0,0.74
323,314,107,2,2.5,4.0,8.27,0,0.72
30,310,99,2,1.5,2.0,7.3,0,0.54
84,322,115,5,4.0,4.5,9.36,1,0.92
390,320,108,3,3.5,4.0,8.44,1,0.76
108,338,117,4,3.5,4.5,9.46,1,0.91
250,321,111,3,3.5,4.0,8.83,1,0.77
297,310,107,3,3.5,3.5,8.67,0,0.76
134,323,112,5,4.0,4.5,8.78,0,0.79
245,314,107,2,2.5,4.0,8.56,0,0.63
185,316,106,2,2.5,4.0,8.32,0,0.72
291,307,105,2,2.5,3.0,7.65,0,0.58
45,326,113,5,4.5,4.0,9.4,1,0.91
368,311,98,1,1.0,2.5,7.46,0,0.57
66,325,112,4,3.5,3.5,8.92,0,0.55
86,319,103,4,4.5,3.5,8.66,0,0.76
243,324,115,3,3.5,3.0,8.76,1,0.7
187,317,107,3,3.5,3.0,8.68,1,0.84
160,297,100,1,1.5,2.0,7.9,0,0.52
13,328,112,4,4.0,4.5,9.1,1,0.78
36,320,110,5,5.0,5.0,9.2,1,0.88
29,295,93,1,2.0,2.0,7.2,0,0.46
171,312,101,2,2.5,3.5,8.04,1,0.68
143,331,115,5,4.0,3.5,9.44,1,0.92
319,324,111,3,2.5,2.0,8.8,1,0.79
273,294,95,1,1.5,1.5,7.64,0,0.49
222,316,110,3,3.5,4.0,8.56,0,0.75
96,304,100,4,1.5,2.5,7.84,0,0.42
52,312,100,2,1.5,3.5,7.9,1,0.56
241,296,101,1,2.5,3.0,7.68,0,0.6
299,330,114,3,4.5,4.5,9.24,1,0.9
305,313,106,2,2.5,2.0,8.43,0,0.62
179,309,108,3,2.5,3.0,8.12,0,0.72
42,316,105,2,2.5,2.5,8.2,1,0.49
311,320,104,3,3.0,3.5,8.74,1,0.76
207,315,99,2,3.5,3.0,7.89,0,0.63
255,321,114,4,4.0,5.0,9.12,0,0.85
332,311,105,2,3.0,2.0,8.12,1,0.73
5,314,103,2,2.0,3.0,8.21,0,0.65
257,309,99,3,4.0,4.0,8.56,0,0.76
359,314,105,2,2.5,2.0,7.64,0,0.7
101,322,107,3,3.5,3.5,8.46,1,0.71
227,306,110,2,3.5,4.0,8.45,0,0.63
342,326,110,3,3.5,3.5,8.76,1,0.79
214,333,119,5,5.0,4.5,9.78,1,0.96
172,334,117,5,4.0,4.5,9.07,1,0.89
99,332,119,4,5.0,4.5,9.24,1,0.9
216,330,116,5,5.0,4.5,9.36,1,0.93
62,307,101,3,4.0,3.0,8.2,0,0.47
48,339,119,5,4.5,4.0,9.7,0,0.89
33,338,118,4,3.0,4.5,9.4,1,0.91
268,314,107,3,3.0,3.5,8.17,1,0.73
201,317,103,3,2.5,3.0,8.54,1,0.73
357,327,109,3,3.5,4.0,8.77,1,0.79
28,298,98,2,1.5,2.5,7.5,1,0.44
313,311,107,4,4.5,4.5,9.0,1,0.78
231,313,104,3,4.0,4.5,8.65,0,0.73
261,327,108,5,5.0,3.5,9.13,1,0.87
289,314,104,4,5.0,5.0,9.02,0,0.82
163,318,109,3,3.0,3.0,8.5,0,0.67
371,310,103,2,2.5,2.5,8.24,0,0.72
139,326,116,2,4.5,3.0,9.08,1,0.8
63,304,105,2,3.0,3.0,8.2,1,0.54
136,314,109,4,3.5,4.0,8.77,1,0.82
129,326,112,3,3.5,3.0,9.1,1,0.84
9,302,102,1,2.0,1.5,8.0,0,0.5
65,325,111,3,3.0,3.5,8.7,0,0.52
301,309,106,2,2.5,2.5,8.0,0,0.62
15,311,104,3,3.5,2.0,8.2,1,0.61
157,315,105,3,2.0,2.5,8.34,0,0.7
41,308,110,3,3.5,3.0,8.0,1,0.46
367,320,104,3,3.5,4.5,8.34,1,0.74
324,305,102,2,2.0,2.5,8.18,0,0.62
217,322,112,4,4.5,4.5,9.26,1,0.91
280,304,102,2,3.0,4.0,8.73,0,0.67
347,304,97,2,1.5,2.0,7.64,0,0.47
237,325,112,4,4.0,4.5,9.17,1,0.85
208,310,102,3,3.5,4.0,8.02,1,0.66
213,338,120,4,5.0,5.0,9.66,1,0.95
296,317,100,2,3.0,2.5,8.57,0,0.68
365,313,102,3,3.5,4.0,8.9,1,0.77
252,316,99,2,2.5,3.0,9.0,0,0.7
391,314,102,2,2.0,2.5,8.24,0,0.64
366,330,114,4,4.5,3.0,9.17,1,0.86
304,323,107,3,3.5,3.5,8.55,1,0.73
270,308,108,4,4.5,5.0,8.34,0,0.77
202,315,110,2,3.5,3.0,8.46,1,0.72
162,298,99,1,1.5,3.0,7.46,0,0.53
44,332,117,4,4.5,4.0,9.1,0,0.87
218,321,109,4,4.0,4.0,9.13,1,0.85
191,324,111,5,4.5,4.0,9.16,1,0.9
310,308,110,4,3.5,3.0,8.6,0,0.7
260,331,119,4,5.0,4.5,9.34,1,0.9
106,316,110,3,4.0,4.5,8.78,1,0.69
54,324,112,4,4.0,2.5,8.1,1,0.72
2,324,107,4,4.0,4.5,8.87,1,0.76
50,327,111,4,3.0,4.0,8.4,1,0.78
81,312,105,3,2.0,3.0,8.02,1,0.5
206,295,99,2,2.5,3.0,7.65,0,0.57
35,331,112,5,4.0,5.0,9.8,1,0.94
264,324,111,3,2.5,1.5,8.79,1,0.7
92,299,97,3,5.0,3.5,7.66,0,0.38
340,324,107,5,3.5,4.0,8.66,1,0.81
53,334,116,4,4.0,3.0,8.0,1,0.78
346,316,98,1,1.5,2.0,7.43,0,0.49
265,325,110,2,3.0,2.5,8.76,1,0.75
242,317,103,2,2.5,2.0,8.15,0,0.65
14,307,109,3,4.0,3.0,8.0,1,0.62
316,308,104,2,2.5,3.0,8.07,0,0.65
89,314,108,3,4.5,3.5,8.14,0,0.64
274,312,99,1,1.0,1.5,8.01,1,0.52
167,302,102,3,3.5,5.0,8.33,0,0.65
329,324,112,4,4.0,3.5,8.77,1,0.8
394,317,104,2,3.0,3.0,8.76,0,0.77
135,333,113,5,4.0,4.0,9.28,1,0.89
307,323,110,3,4.0,3.5,9.1,1,0.79
384,300,100,3,3.0,3.5,8.26,0,0.62
320,327,113,4,3.5,3.0,8.69,1,0.8
244,325,114,3,3.5,3.0,9.04,1,0.76
55,322,110,3,3.0,3.5,8.0,0,0.7
51,313,98,3,2.5,4.5,8.3,1,0.76
175,321,111,4,4.0,4.0,8.97,1,0.87
190,324,112,5,5.0,5.0,9.08,1,0.88
398,330,116,4,5.0,4.5,9.45,1,0.91
188,335,118,5,4.5,3.5,9.44,1,0.93
170,311,99,2,2.5,3.0,7.98,0,0.65
59,300,99,1,3.0,2.0,6.8,1,0.36
49,321,110,3,3.5,5.0,8.85,1,0.82
345,295,96,2,1.5,2.0,7.34,0,0.47
236,326,111,5,4.5,4.0,9.23,1,0.88
253,318,100,2,2.5,3.5,8.54,1,0.71
22,325,114,4,3.0,2.0,8.4,0,0.7
314,301,100,3,3.5,3.0,8.04,0,0.67
161,315,103,1,1.5,2.0,7.86,0,0.57
277,329,113,5,5.0,4.5,9.45,1,0.89
192,323,110,5,4.0,5.0,8.98,1,0.87
294,312,98,1,3.5,3.0,8.18,1,0.64
344,305,103,2,2.5,3.5,8.13,0,0.59
258,324,100,3,4.0,5.0,8.64,1,0.78
309,312,108,3,3.5,3.0,8.53,0,0.69
150,311,106,2,3.5,3.0,8.26,1,0.79
131,339,114,5,4.0,4.5,9.76,1,0.96
152,332,116,5,5.0,5.0,9.28,1,0.94
360,321,107,2,2.0,1.5,8.44,0,0.81
100,323,113,3,4.0,4.0,8.88,1,0.79
373,336,119,4,4.5,4.0,9.62,1,0.95
88,317,107,2,3.5,3.0,8.28,0,0.66
331,327,113,3,3.5,3.0,8.66,1,0.8
215,331,117,4,4.5,5.0,9.42,1,0.94
122,334,119,5,4.5,4.5,9.48,1,0.94
400,333,117,4,5.0,4.0,9.66,1,0.95
21,312,107,3,3.0,2.0,7.9,1,0.64
189,331,115,5,4.5,3.5,9.36,1,0.93
72,336,112,5,5.0,5.0,9.76,1,0.96
107,329,111,4,4.5,4.5,9.18,1,0.87
271,306,105,2,2.5,3.0,8.22,1,0.72
349,302,99,1,2.0,2.0,7.25,0,0.57
103,314,106,2,4.0,3.5,8.25,0,0.62
